epoch,train_loss,val_loss,train_accuracy,val_accuracy,duration_secs
1,0.662492,0.001643,0.948864,1.000000,2868.33
2,0.002561,0.001236,1.000000,1.000000,2821.93
3,0.001940,0.001012,1.000000,1.000000,2866.59
4,0.001624,0.000846,1.000000,1.000000,2792.12
5,0.001389,0.000736,1.000000,1.000000,2737.09
6,0.001196,0.000651,1.000000,1.000000,3331.44
7,0.001055,0.000585,1.000000,1.000000,3574.20
8,0.000950,0.000529,1.000000,1.000000,2738.65
9,0.000848,0.000477,1.000000,1.000000,2675.19
10,0.000767,0.000438,1.000000,1.000000,2695.57
